"res_val","AIC_vals","r2_vals","Scenario"
100,804.14872955527,0.315505043137887,"Natural corridors no rivers"
300,790.767055257853,1.77909159787509,"Natural corridors no rivers"
500,782.796125487637,2.65089174643308,"Natural corridors no rivers"
700,779.61895175724,2.99838703368352,"Natural corridors no rivers"
900,770.020523738683,4.04819065932439,"Natural corridors no rivers"
1100,766.691917830673,4.41224845543462,"Natural corridors no rivers"
1300,767.620588054693,4.31067751420169,"Natural corridors no rivers"
1500,767.77162691096,4.29415802386276,"Natural corridors no rivers"
1700,767.149588086647,4.36219193647748,"Natural corridors no rivers"
1900,769.152382007881,4.1431414507252,"Natural corridors no rivers"
2100,770.508743433883,3.99479287323496,"Natural corridors no rivers"
2300,772.943908697744,3.7284528727584,"Natural corridors no rivers"
2500,774.578359726795,3.54968895298819,"Natural corridors no rivers"
2700,772.877846036439,3.7356783081342,"Natural corridors no rivers"
2900,772.276412234887,3.80145859884761,"Natural corridors no rivers"
3100,773.021677876832,3.71994706680646,"Natural corridors no rivers"
3300,775.427556012309,3.45681027142801,"Natural corridors no rivers"
3500,777.688465891516,3.20952900997042,"Natural corridors no rivers"
3700,779.288690688497,3.03450849718826,"Natural corridors no rivers"
3900,781.406449432877,2.80288402662026,"Natural corridors no rivers"
4100,783.185917830275,2.6082592014208,"Natural corridors no rivers"
4300,784.851886116387,2.42604816190666,"Natural corridors no rivers"
4500,786.665850858661,2.22765038681869,"Natural corridors no rivers"
4700,788.379896230381,2.04018103847683,"Natural corridors no rivers"
4900,789.901941080091,1.87371125837079,"Natural corridors no rivers"
5100,791.377417986767,1.71233472846571,"Natural corridors no rivers"
5300,792.78384258065,1.55851061945601,"Natural corridors no rivers"
5500,794.192069207441,1.40448941768518,"Natural corridors no rivers"
5700,795.483300926676,1.26326423604342,"Natural corridors no rivers"
5900,796.618598381662,1.13909396752438,"Natural corridors no rivers"
6100,797.73789360692,1.016673902138,"Natural corridors no rivers"
6300,798.47903353392,0.935613609664365,"Natural corridors no rivers"
6500,798.99128330463,0.87958759524972,"Natural corridors no rivers"
6700,799.398212071584,0.835080797459531,"Natural corridors no rivers"
6900,799.77852729129,0.793484788637899,"Natural corridors no rivers"
7100,800.018249827054,0.767265746654533,"Natural corridors no rivers"
7300,800.250536280693,0.741860007220319,"Natural corridors no rivers"
7500,800.413847229158,0.723998288043637,"Natural corridors no rivers"
7700,800.730843885518,0.689327585870392,"Natural corridors no rivers"
